The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.boot3.MigrateWebMvcTagsToObservationConvention,10,0,0,0,2368881,545705
org.openrewrite.java.spring.boot2.UnnecessarySpringRunWith,10,0,29138,3262,54337,21921
org.openrewrite.java.spring.doc.ApiInfoBuilderToInfo,10,0,0,0,2321115,804550
org.openrewrite.java.migrate.lombok.LombokValToFinalVar,10,0,0,0,797575,89024
org.openrewrite.java.migrate.jakarta.JavaxFacesConfigXmlToJakartaFacesConfigXml,10,0,8442,1135,179638,120187
org.openrewrite.java.spring.data.MigrateQuerydslJpaRepository,10,0,0,0,66702,7674
org.openrewrite.java.migrate.logging.MigrateLoggerGlobalToGetGlobal,10,0,0,0,57986,7785
org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums,10,0,0,0,102281,21500
org.openrewrite.java.migrate.BeanDiscovery,10,0,0,0,110424,74782
org.openrewrite.java.spring.NoRequestMappingAnnotation,10,0,0,0,2646310,2114034
org.openrewrite.maven.UpgradePluginVersion,10,0,0,0,10085424,2764495
org.openrewrite.java.migrate.javax.MigrateSimpleElementVisitor6To9,10,0,5498,1297,15272,2002
org.openrewrite.java.spring.cloud2022.AddLoggingPatternLevelForSleuth,10,0,1206692,1060402,387981,221160
org.openrewrite.java.migrate.jakarta.UpdateYassonDependencies,10,0,5919,546,80312,61619
org.openrewrite.java.ChangePackageInStringLiteral,10,0,0,0,3746810,397389
org.openrewrite.java.migrate.MXBeanRule,10,0,0,0,1483305,317495
org.openrewrite.java.migrate.util.OptionalStreamRecipe,10,0,0,0,18685,1846
org.openrewrite.java.spring.ChangeMethodParameter,10,0,0,0,16100,2877
org.openrewrite.java.RemoveAnnotationAttribute,10,0,0,0,635859,109725
org.openrewrite.java.migrate.UpgradeJavaVersion,10,0,0,0,9015142,620792
org.openrewrite.java.spring.framework.JdbcTemplateObjectArrayArgToVarArgs,10,0,0,0,185903,17727
org.openrewrite.java.spring.batch.SpringBatch4To5Migration,10,0,7010,604,40687,6560
org.openrewrite.java.spring.framework.MigrateHandlerInterceptor,10,0,0,0,150647,15725
org.openrewrite.java.spring.kafka.UpgradeSpringKafka_3_0,10,0,5656,508,29060,3974
org.openrewrite.java.migrate.logging.MigrateLoggerLogrbToUseResourceBundle,10,0,0,0,16742,1845
org.openrewrite.java.migrate.jakarta.JavaxValidationMigrationToJakartaValidation,10,0,8930,2006,13370,1407
org.openrewrite.java.spring.security5.UpdatePbkdf2PasswordEncoder,10,0,0,0,33661,4726
org.openrewrite.java.testing.junit5.MigrateJUnitTestCase,10,0,0,0,119821,17108
org.openrewrite.java.spring.cloud2022.UpgradeSpringCloud_2022,10,0,5467,457,28774,5814
org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderBasicAuthorization,10,0,74171,42478,22793,2782
org.openrewrite.java.spring.boot2.DatabaseComponentAndBeanInitializationOrderingUnconditionally,10,0,0,0,2194022,1340703
org.openrewrite.java.migrate.JREWrapperInterface,10,0,11585,3358,29005,9139
org.openrewrite.java.migrate.net.MigrateMulticastSocketSetTTLToSetTimeToLive,10,0,0,0,58281,7381
org.openrewrite.java.testing.junit5.TempDirNonFinal,10,0,0,0,58441,8729
org.openrewrite.java.testing.arquillian.ReplaceArquillianInSequenceAnnotation,10,0,0,0,112090,20702
org.openrewrite.java.spring.boot2.MigrateDatabaseCredentialsForToolProperties,10,0,0,0,1939641,392569
org.openrewrite.java.spring.boot2.SpringBootProperties_2_0,10,0,31605,3563,31094,4328
org.openrewrite.java.migrate.jakarta.JavaxEnterpriseToJakartaEnterprise,10,0,5720,1056,17649,3205
org.openrewrite.java.migrate.jakarta.JakartaFacesEcmaScript,10,0,10050,1822,42760,2582
org.openrewrite.java.ChangeMethodAccessLevel,10,0,0,0,79323,7196
org.openrewrite.java.spring.boot2.MaybeAddSpringBootStarterActuator,10,0,57867,14936,21518,3126
org.openrewrite.java.spring.boot3.UpgradeMyBatisToSpringBoot_3_0,10,0,6564,588,612439,595658
org.openrewrite.java.spring.framework.MigrateInstantiationAwareBeanPostProcessorAdapter,10,0,0,0,86133,5919
org.openrewrite.java.testing.mockito.ReplacePowerMockito,10,0,63164,10495,101790,10177
org.openrewrite.java.ReplaceConstantWithAnotherConstant,10,0,0,0,836604,42442
org.openrewrite.java.spring.boot2.MigrateSpringBootServletInitializerPackageName,10,0,26002,12342,31481,7970
org.openrewrite.java.migrate.jakarta.JakartaFacesConfigXml4,10,0,5032,1120,40969,9160
org.openrewrite.java.testing.junit5.ExpectedExceptionToAssertThrows,10,0,0,0,61603,8699
org.openrewrite.java.spring.security5.RenameNimbusdsJsonObjectPackageName,10,0,7914,1382,26169,2941
org.openrewrite.java.testing.junit5.UpdateTestAnnotation,10,0,0,0,4239023,618930
org.openrewrite.java.spring.boot2.MigrateRestTemplateBuilderTimeoutByInt,10,0,0,0,230155,96987
org.openrewrite.github.SetupJavaUpgradeJavaVersion,10,0,0,0,53801,2769
org.openrewrite.java.spring.boot2.SpringBootProperties_2_4,10,0,21933,4842,27794,3247
org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization,10,0,7473,1796,18606,4894
org.openrewrite.java.ChangeAnnotationAttributeName,10,0,0,0,719432,38335
org.openrewrite.java.spring.boot2.SpringBootProperties_2_3,10,0,16302,3772,44211,6849
org.openrewrite.staticanalysis.InstanceOfPatternMatch,10,0,0,0,2900421,820555
org.openrewrite.java.migrate.logging.MigrateInterfaceLoggingMXBeanToPlatformLoggingMXBean,10,0,5162,1228,13232,1641
org.openrewrite.java.spring.boot2.SpringBootProperties_2_2,10,0,10485,1153,36040,5726
org.openrewrite.java.spring.framework.BeanMethodReturnNull,10,0,0,0,59089,7567
org.openrewrite.java.spring.boot2.SpringBootProperties_2_1,10,0,17748,7364,27485,8423
org.openrewrite.apache.httpclient5.MigrateStringEntityStringCharsetConstructor,10,0,0,0,105097,19383
org.openrewrite.java.spring.boot2.SpringBootProperties_2_7,10,0,23664,5542,44160,5796
org.openrewrite.java.spring.boot2.SpringBootProperties_2_6,10,0,19946,3732,39802,6173
org.openrewrite.maven.RemoveRedundantDependencyVersions,10,0,0,0,1386908,194763
org.openrewrite.java.migrate.net.MigrateHttpURLConnectionHttpServerErrorToHttpInternalError,10,0,0,0,70570,24910
org.openrewrite.hibernate.ReplaceLazyCollectionAnnotation,10,0,0,0,57580,15091
